"SCHEMA","TOTAL_INDEXES","TOTAL_TABLES","TOTAL_ROWS","DATA_SIZE_KB","INDEX_SIZE_KB","TOTAL_SIZE_KB"
"APPQOSSYS","None","4","0","256","None","None"
"AUDIT_NFB","2","1","5243710","770640","197072","967712"
"BIBLIO","19","8","0","640","1520","2160"
"CATMUL","11","8","0","1760","1800","3560"
"CMM","593","290","860762","1568008","576024","2144032"
"CONTRACT","6","3","52535","8560","7760","16320"
"CTXSYS","64","37","347422","2432","182208","184640"
"DBSNMP","8","16","217","1024","512","1536"
"DJANGO","1","4","44","64","16","80"
"ECINEMA","1","2","0","160","80","240"
"EJULIETTE","4","4","0","304","320","624"
"FESTIVALS","21","12","80995","11680","8400","20080"
"FORMAT","69","25","394917","54760","71656","126416"
"FORUM","54","24","0","24960","56160","81120"
"GSMADMIN_INTERNAL","20","15","1","960","1280","2240"
"IMAGES","26","15","24331472","1282112","1341440","2623552"
"MBNL_ENGLISH","23","23","209244","16400","15200","31600"
"MBNL_FRENCH","23","23","291610","19600","16800","36400"
"MEMBERSHIP","55","61","5828341","508600","498560","1007160"
"NFB_METRIC","2","2","0","1040","1040","2080"
"ORDS_METADATA","83","30","21","1920","5312","7232"
"OUTLN","4","3","0","48","64","112"
"PERFSTAT","68","67","781958","200064","107904","307968"
"PHOTOS","108","53","11088598","819096","2299416","3118512"
"PLAYER","6","7","0","3640","3120","6760"
"RIGHTS","116","40","43636399","5799032","2597504","8396536"
"SGV","10","4","53971","7600","2880","10480"
"SNAPADMIN","None","1","0","16","None","None"
"SPR","82","54","1495198","1237424","111296","1348720"
"SPR_CMS","121","31","32309","17440","15920","33360"
"SPR_CMS_PROD","121","31","30441","32128","42176","74304"
"STK_SHOT","52","18","866757","94000","94208","188208"
"STOCKSHOT","93","53","754207","282320","118096","400416"
"SYNCHRON","43","21","310752","48600","66720","115320"
"SYS","1182","1388","2480849","266168","257352","523520"
"SYSTEM","162","127","582","3848","3888","7736"
"THESAURUS","23","11","1355","1320","2704","4024"
"TOAD","35","31","4023","12800","13920","26720"
"TSMSYS","1","1","0","64","64","128"
"VOUTENUM","22","15","22361","5360","5088","10448"
"XDB","69","49","762","3840","4416","8256"
