"OWNER","VIEW_NAME","VIEW_FULL_NAME","TEXT_LENGTH"
"RIGHTS","GTD_QUERY_V","RIGHTS.GTD_QUERY_V","849"
"RIGHTS","GTP_QUERY_V","RIGHTS.GTP_QUERY_V","849"
"RIGHTS","GTP_SITE_TITLE_INTRANET_V","RIGHTS.GTP_SITE_TITLE_INTRANET_V","890"
"RIGHTS","GTP_SITE_TITLE_V","RIGHTS.GTP_SITE_TITLE_V","861"
"RIGHTS","GTP_SIT_TIT_MEDIASPHERE_V","RIGHTS.GTP_SIT_TIT_MEDIASPHERE_V","871"
"RIGHTS","RIG_CONTRACT_PARTENAIRE_V","RIGHTS.RIG_CONTRACT_PARTENAIRE_V","602"
"RIGHTS","RIG_CONTRACT_TYPE_V","RIGHTS.RIG_CONTRACT_TYPE_V","359"
"RIGHTS","RIG_DOM_SALE_QUALIFIER_V","RIGHTS.RIG_DOM_SALE_QUALIFIER_V","322"
"RIGHTS","RIG_MARKET_V","RIGHTS.RIG_MARKET_V","291"
"RIGHTS","RIG_OR_CONTRACT_TITLE_V","RIGHTS.RIG_OR_CONTRACT_TITLE_V","2,116"
"RIGHTS","RIG_OR_MATRIX_V","RIGHTS.RIG_OR_MATRIX_V","2,011"
"RIGHTS","RIG_PARTENAIRE_V","RIGHTS.RIG_PARTENAIRE_V","98"
"RIGHTS","RIG_PART_RELATION_V","RIGHTS.RIG_PART_RELATION_V","626"
"RIGHTS","RIG_SALE_LEAF_LANG_V","RIGHTS.RIG_SALE_LEAF_LANG_V","236"
"RIGHTS","RIG_SALE_LEAF_MARK_V","RIGHTS.RIG_SALE_LEAF_MARK_V","232"
"RIGHTS","RIG_SALE_LEAF_SUPP_V","RIGHTS.RIG_SALE_LEAF_SUPP_V","251"
"RIGHTS","RIG_SALE_LEAF_TERR_V","RIGHTS.RIG_SALE_LEAF_TERR_V","236"
"RIGHTS","RIG_SUPPORT_V","RIGHTS.RIG_SUPPORT_V","313"
"RIGHTS","RIG_TITLE_PARTENAIRE_V","RIGHTS.RIG_TITLE_PARTENAIRE_V","91"
"RIGHTS","RIG_TITLE_RELATIONS_V","RIGHTS.RIG_TITLE_RELATIONS_V","536"
"RIGHTS","RIG_TREE_DISTRIBUTOR_V","RIGHTS.RIG_TREE_DISTRIBUTOR_V","792"
"RIGHTS","RIG_TREE_RIGHTS_V","RIGHTS.RIG_TREE_RIGHTS_V","234"
