"VIEW_SCHEMA","VIEW_NAME","VIEW_FULL_NAME","TEXT_LENGTH"
"Person","vAdditionalContactInfo","Person.vAdditionalContactInfo","4,210"
"HumanResources","vEmployee","HumanResources.vEmployee","1,314"
"HumanResources","vEmployeeDepartment","HumanResources.vEmployeeDepartment","651"
"HumanResources","vEmployeeDepartmentHistory","HumanResources.vEmployeeDepartmentHistory","738"
"Sales","vIndividualCustomer","Sales.vIndividualCustomer","1,395"
"Sales","vPersonDemographics","Sales.vPersonDemographics","3,079"
"HumanResources","vJobCandidate","HumanResources.vJobCandidate","3,101"
"HumanResources","vJobCandidateEmployment","HumanResources.vJobCandidateEmployment","2,558"
"HumanResources","vJobCandidateEducation","HumanResources.vJobCandidateEducation","2,866"
"Production","vProductAndDescription","Production.vProductAndDescription","670"
"Production","vProductModelCatalogDescription","Production.vProductModelCatalogDescription","6,422"
"Production","vProductModelInstructions","Production.vProductModelInstructions","1,287"
"Sales","vSalesPerson","Sales.vSalesPerson","1,571"
"Sales","vSalesPersonSalesByFiscalYears","Sales.vSalesPersonSalesByFiscalYears","1,056"
"Person","vStateProvinceCountryRegion","Person.vStateProvinceCountryRegion","453"
"Sales","vStoreWithDemographics","Sales.vStoreWithDemographics","2,263"
"Sales","vStoreWithContacts","Sales.vStoreWithContacts","928"
"Sales","vStoreWithAddresses","Sales.vStoreWithAddresses","801"
"Purchasing","vVendorWithContacts","Purchasing.vVendorWithContacts","936"
"Purchasing","vVendorWithAddresses","Purchasing.vVendorWithAddresses","811"
