"ATTRIBUTE_TYPE","ATTRIBUTE_NAME","ATTRIBUTE_VALUE"
"config","access check cache bucket count","0"
"config","access check cache quota","0"
"config","Ad Hoc Distributed Queries","0"
"config","affinity I/O mask","0"
"config","affinity mask","0"
"config","affinity64 I/O mask","0"
"config","affinity64 mask","0"
"config","Agent XPs","1"
"config","allow polybase export","0"
"config","allow updates","0"
"config","automatic soft-NUMA disabled","0"
"config","backup checksum default","0"
"config","backup compression default","0"
"config","blocked process threshold (s)","0"
"config","c2 audit mode","0"
"config","clr enabled","0"
"config","contained database authentication","0"
"config","cost threshold for parallelism","5"
"config","cross db ownership chaining","0"
"config","cursor threshold","-1"
"config","Database Mail XPs","0"
"config","default full-text language","1033"
"config","default language","0"
"config","default trace enabled","1"
"config","disallow results from triggers","0"
"config","external scripts enabled","0"
"config","filestream access level","0"
"config","fill factor (%)","0"
"config","ft crawl bandwidth (max)","100"
"config","ft crawl bandwidth (min)","0"
"config","ft notify bandwidth (max)","100"
"config","ft notify bandwidth (min)","0"
"config","hadoop connectivity","0"
"config","in-doubt xact resolution","0"
"config","index create memory (KB)","0"
"config","lightweight pooling","0"
"config","locks","0"
"config","max degree of parallelism","0"
"config","max full-text crawl range","4"
"config","max server memory (MB)","2147483647"
"config","max text repl size (B)","65536"
"config","max worker threads","0"
"config","media retention","0"
"config","min memory per query (KB)","1024"
"config","min server memory (MB)","16"
"config","nested triggers","1"
"config","network packet size (B)","4096"
"config","Ole Automation Procedures","0"
"config","open objects","0"
"config","optimize for ad hoc workloads","0"
"config","PH timeout (s)","60"
"config","polybase network encryption","1"
"config","precompute rank","0"
"config","priority boost","0"
"config","query governor cost limit","0"
"config","query wait (s)","-1"
"config","recovery interval (min)","0"
"config","remote access","1"
"config","remote admin connections","0"
"config","remote data archive","0"
"config","remote login timeout (s)","10"
"config","remote proc trans","0"
"config","remote query timeout (s)","600"
"config","Replication XPs","0"
"config","scan for startup procs","0"
"config","server trigger recursion","1"
"config","set working set size","0"
"config","show advanced options","0"
"config","SMO and DMO XPs","1"
"config","transform noise words","0"
"config","two digit year cutoff","2049"
"config","user connections","0"
"config","user options","0"
"config","xp_cmdshell","0"
"property","BuildClrVersion","v4.0.30319"
"property","Collation","SQL_Latin1_General_CP1_CI_AI"
"property","CollationID","906031112"
"property","ComparisonStyle","196611"
"property","ComputerNamePhysicalNetBIOS","server-test"
"property","Edition","Standard Edition (64-bit)"
"property","EditionID","-1534726760"
"property","EngineEdition","2"
"property","FilestreamConfiguredLevel","0"
"property","FilestreamEffectiveLevel","0"
"property","FilestreamShareName","MSSQLSERVER"
"property","HadrManagerStatus","2"
"property","InstanceDefaultDataPath","E:\MSSQL_DATA\"
"property","InstanceDefaultLogPath","F:\MSSQL_LOG\"
"property","InstanceName","None"
"property","IsAdvancedAnalyticsInstalled","1"
"property","IsClustered","0"
"property","IsFullTextInstalled","1"
"property","IsHadrEnabled","0"
"property","IsIntegratedSecurityOnly","0"
"property","IsLocalDB","0"
"property","IsPolyBaseInstalled","0"
"property","IsSingleUser","0"
"property","IsXTPSupported","0"
"property","LCID","1033"
"property","LicenseType","DISABLED"
"property","MachineName","server-test"
"property","NumLicenses","None"
"property","ProcessID","1928"
"property","ProductBuild","1742"
"property","ProductBuildType","GDR"
"property","ProductLevel","RTM"
"property","ProductMajorVersion","13"
"property","ProductMinorVersion","0"
"property","ProductUpdateLevel","None"
"property","ProductUpdateReference","KB4019088"
"property","ProductVersion","13.0.1742.0"
"property","ResourceLastUpdateDateTime","Jul  6 2017  1:03AM"
"property","ResourceVersion","13.00.1742"
"property","ServerName","server-test"
"property","SqlCharSet","1"
"property","SqlCharSetName","iso_1"
"property","SqlSortOrder","54"
"property","SqlSortOrderName","noaccents_iso"
