"TABLE_SCHEMA","TABLE","TABLE_ROWS","DATA_SIZE_KB","INDEX_SIZE_KB","TOTAL_SIZE_KB"
"Person","Address","19614","2824","2544","5368"
"Person","AddressType","6","72","32","104"
"dbo","AWBuildVersion","1","72","0","72"
"Production","BillOfMaterials","2679","328","184","512"
"Person","BusinessEntity","20777","840","552","1392"
"Person","BusinessEntityAddress","19614","968","1416","2384"
"Person","BusinessEntityContact","909","200","128","328"
"Person","ContactType","20","72","16","88"
"Person","CountryRegion","238","200","32","232"
"Sales","CountryRegionCurrency","109","72","16","88"
"Sales","CreditCard","19118","1608","816","2424"
"Production","Culture","8","72","16","88"
"Sales","Currency","105","72","16","88"
"Sales","CurrencyRate","13532","840","424","1264"
"Sales","Customer","19820","1096","1312","2408"
"dbo","DatabaseLog","1596","6544","48","6592"
"HumanResources","Department","16","72","16","88"
"Production","Document","13","464","64","528"
"Person","EmailAddress","19972","2120","1488","3608"
"HumanResources","Employee","290","136","120","256"
"HumanResources","EmployeeDepartmentHistory","296","200","32","232"
"HumanResources","EmployeePayHistory","316","200","0","200"
"dbo","ErrorLog","0","0","0","0"
"Production","Illustration","5","400","0","400"
"HumanResources","JobCandidate","13","400","16","416"
"Production","Location","14","72","16","88"
"Person","Password","19972","1992","0","1992"
"Person","Person","19972","30536","1376","31912"
"Sales","PersonCreditCard","19118","584","0","584"
"Person","PersonPhone","19972","1288","976","2264"
"Person","PhoneNumberType","3","72","0","72"
"Production","Product","504","264","112","376"
"Production","ProductCategory","4","72","32","104"
"Production","ProductCostHistory","395","200","0","200"
"Production","ProductDescription","762","264","40","304"
"Production","ProductDocument","32","72","0","72"
"Production","ProductInventory","1069","200","0","200"
"Production","ProductListPriceHistory","395","200","0","200"
"Production","ProductModel","128","336","32","368"
"Production","ProductModelIllustration","7","72","0","72"
"Production","ProductModelProductDescriptionCulture","762","200","0","200"
"Production","ProductPhoto","101","2512","0","2512"
"Production","ProductProductPhoto","504","72","32","104"
"Production","ProductReview","4","200","40","240"
"Production","ProductSubcategory","37","72","32","104"
"Purchasing","ProductVendor","460","200","48","248"
"Purchasing","PurchaseOrderDetail","8845","584","176","760"
"Purchasing","PurchaseOrderHeader","4012","456","144","600"
"Sales","SalesOrderDetail","121317","9992","5824","15816"
"Sales","SalesOrderHeader","31465","5576","2632","8208"
"Sales","SalesOrderHeaderSalesReason","27647","776","0","776"
"Sales","SalesPerson","17","72","16","88"
"Sales","SalesPersonQuotaHistory","163","200","16","216"
"Sales","SalesReason","10","72","0","72"
"Sales","SalesTaxRate","29","72","32","104"
"Sales","SalesTerritory","10","72","32","104"
"Sales","SalesTerritoryHistory","17","72","16","88"
"Production","ScrapReason","16","72","16","88"
"HumanResources","Shift","3","72","32","104"
"Purchasing","ShipMethod","5","72","32","104"
"Sales","ShoppingCartItem","3","72","16","88"
"Sales","SpecialOffer","16","72","16","88"
"Sales","SpecialOfferProduct","538","200","48","248"
"Person","StateProvince","181","200","48","248"
"Sales","Store","701","904","72","976"
"Production","TransactionHistory","113443","6408","3632","10040"
"Production","TransactionHistoryArchive","89253","5064","2864","7928"
"Production","UnitMeasure","38","72","16","88"
"Purchasing","Vendor","104","200","16","216"
"Production","WorkOrder","72591","4296","1904","6200"
"Production","WorkOrderRouting","67131","5640","1080","6720"
