"TABLE","COLUMN_NAME","IS_NULLABLE","DATA_TYPE","COLUMN_DEFAULT","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","COLUMN_TYPE"
"customers","customerNumber","NO","int","None","None","10","int(11)"
"customers","customerName","NO","varchar","None","50","None","varchar(50)"
"customers","contactLastName","NO","varchar","None","50","None","varchar(50)"
"customers","contactFirstName","NO","varchar","None","50","None","varchar(50)"
"customers","phone","NO","varchar","None","50","None","varchar(50)"
"customers","addressLine1","NO","varchar","None","50","None","varchar(50)"
"customers","addressLine2","YES","varchar","None","50","None","varchar(50)"
"customers","city","NO","varchar","None","50","None","varchar(50)"
"customers","state","YES","varchar","None","50","None","varchar(50)"
"customers","postalCode","YES","varchar","None","15","None","varchar(15)"
"customers","country","NO","varchar","None","50","None","varchar(50)"
"customers","creditLimit","YES","decimal","None","None","10","decimal(10,2)"
"customers","salesRepEmployeeNumber","YES","int","None","None","10","int(11)"
"employees","employeeNumber","NO","int","None","None","10","int(11)"
"employees","lastName","NO","varchar","None","50","None","varchar(50)"
"employees","firstName","NO","varchar","None","50","None","varchar(50)"
"employees","extension","NO","varchar","None","10","None","varchar(10)"
"employees","email","NO","varchar","None","100","None","varchar(100)"
"employees","jobTitle","NO","varchar","None","50","None","varchar(50)"
"employees","officeCode","NO","varchar","None","10","None","varchar(10)"
"employees","reportsTo","YES","int","None","None","10","int(11)"
"offices","officeCode","NO","varchar","None","10","None","varchar(10)"
"offices","city","NO","varchar","None","50","None","varchar(50)"
"offices","phone","NO","varchar","None","50","None","varchar(50)"
"offices","addressLine1","NO","varchar","None","50","None","varchar(50)"
"offices","addressLine2","YES","varchar","None","50","None","varchar(50)"
"offices","state","YES","varchar","None","50","None","varchar(50)"
"offices","country","NO","varchar","None","50","None","varchar(50)"
"offices","postalCode","NO","varchar","None","15","None","varchar(15)"
"offices","territory","NO","varchar","None","10","None","varchar(10)"
"orderdetails","orderNumber","NO","int","None","None","10","int(11)"
"orderdetails","productCode","NO","varchar","None","15","None","varchar(15)"
"orderdetails","quantityOrdered","NO","int","None","None","10","int(11)"
"orderdetails","priceEach","NO","decimal","None","None","10","decimal(10,2)"
"orderdetails","orderLineNumber","NO","smallint","None","None","5","smallint(6)"
"orders","orderNumber","NO","int","None","None","10","int(11)"
"orders","orderDate","NO","date","None","None","None","date"
"orders","requiredDate","NO","date","None","None","None","date"
"orders","shippedDate","YES","date","None","None","None","date"
"orders","status","NO","varchar","None","15","None","varchar(15)"
"orders","comments","YES","text","None","65535","None","text"
"orders","customerNumber","NO","int","None","None","10","int(11)"
"payments","customerNumber","NO","int","None","None","10","int(11)"
"payments","checkNumber","NO","varchar","None","50","None","varchar(50)"
"payments","paymentDate","NO","date","None","None","None","date"
"payments","amount","NO","decimal","None","None","10","decimal(10,2)"
"productlines","productLine","NO","varchar","None","50","None","varchar(50)"
"productlines","textDescription","YES","varchar","None","4000","None","varchar(4000)"
"productlines","htmlDescription","YES","mediumtext","None","16777215","None","mediumtext"
"productlines","image","YES","mediumblob","None","16777215","None","mediumblob"
"products","productCode","NO","varchar","None","15","None","varchar(15)"
"products","productName","NO","varchar","None","70","None","varchar(70)"
"products","productScale","NO","varchar","None","10","None","varchar(10)"
"products","productVendor","NO","varchar","None","50","None","varchar(50)"
"products","productDescription","NO","text","None","65535","None","text"
"products","quantityInStock","NO","smallint","None","None","5","smallint(6)"
"products","buyPrice","NO","decimal","None","None","10","decimal(10,2)"
"products","MSRP","NO","decimal","None","None","10","decimal(10,2)"
"products","productLine","NO","varchar","None","50","None","varchar(50)"
