"TABLESPACE_NAME","FILE_NAME","AUTOEXTENSIBLE","INCREMENT_BY","STATUS","ONLINE_STATUS"
"orcl_dev_DAT","/u02/orcl_dev/orcl_devdt01.dbf","NO","0","AVAILABLE","ONLINE"
"orcl_dev_DAT","/u02/orcl_dev/orcl_devdt02.dbf","NO","0","AVAILABLE","ONLINE"
"orcl_dev_IDX","/u02/orcl_dev/orcl_devid01.dbf","YES","640","AVAILABLE","ONLINE"
"orcl_dev_LC","/u02/orcl_dev/orcl_dev_LC01.dbf","NO","0","AVAILABLE","ONLINE"
"DEV12_STB","/u02/orcl_dev/DEV12_svctbl.dbf","YES","256","AVAILABLE","ONLINE"
"DEV12_WLS","/u02/orcl_dev/DEV12_wlsservices.dbf","YES","1,280","AVAILABLE","ONLINE"
"OFMW_IAS_OPSS","/u02/orcl_dev/OFMW_ias_opss.dbf","YES","1","AVAILABLE","ONLINE"
"OFMW_IAU","/u02/orcl_dev/OFMW_iau.dbf","YES","1","AVAILABLE","ONLINE"
"OFMW_STB","/u02/orcl_dev/OFMW_svctbl.dbf","YES","256","AVAILABLE","ONLINE"
"OFMW_WLS","/u02/orcl_dev/OFMW_wlsservices.dbf","YES","1,280","AVAILABLE","ONLINE"
"POURREADONLY","/u02/orcl_dev/POURREADONLY1.dbf","NO","0","AVAILABLE","ONLINE"
"APPDRTS_DT","/u02/orcl_dev/APPDRTS_DT.dbf","NO","0","AVAILABLE","ONLINE"
"APPDRTS_IDX","/u02/orcl_dev/APPDRTS_IDX.dbf","NO","0","AVAILABLE","ONLINE"
"SYSAUX","/u02/orcl_dev/sysaux01.dbf","YES","1,280","AVAILABLE","ONLINE"
"SYSTEM","/u02/orcl_dev/system01.dbf","YES","1,280","AVAILABLE","SYSTEM"
"TOOLS","/u02/orcl_dev/tools01.dbf","NO","0","AVAILABLE","ONLINE"
"UNDOTBS1","/u02/orcl_dev/undotbs01.dbf","YES","640","AVAILABLE","ONLINE"
"USERS","/u02/orcl_dev/users01.dbf","YES","160","AVAILABLE","ONLINE"
"WORK","/u02/orcl_dev/work01.dbf","NO","0","AVAILABLE","ONLINE"
